epoch,train_loss,train_acc,val_loss,val_acc,val_f1,lr
1,1.8067721428478216,0.3070814030443415,2.063033772780832,0.16940651992198383,0.1217084585300962,1e-06
2,1.3234596024111809,0.5687763419136856,1.6685970673518897,0.40986347171914184,0.3634776990737801,4.800000000000001e-06
3,1.1506561798879458,0.6613257166742137,1.3768906044749032,0.5728615213151296,0.5353865001866501,8.6e-06
4,1.065858645932977,0.7061548643282595,1.2103646218249229,0.6421008637503482,0.6104203398532091,1.2400000000000002e-05
5,1.0181331173879797,0.7274025566895399,1.1244310947646081,0.6787405962663695,0.6561419667535822,1.62e-05
6,0.9552181855607405,0.7597965794698527,1.0826254212750799,0.6958762886597938,0.6764414402827787,1.6193333508751322e-05
7,0.9101403540120624,0.7845623323696402,1.0621694442445198,0.7059069378657008,0.6912099138298559,1.617334573029623e-05
8,0.8626855278599236,0.8113135253753179,1.0534441450000864,0.7163555307885204,0.7028003066749078,1.6140071729990032e-05
9,0.8212400560655148,0.8316555783900519,1.051724650691041,0.7230426302591251,0.7090472051674553,1.6093569881735836e-05
10,0.782533761653178,0.8502560172768121,1.0554931596317123,0.727222067428253,0.7128781136643408,1.603392176557692e-05
11,0.74941688908766,0.8688912884461318,1.0634263669495034,0.7279186402897743,0.7133396997288326,1.5961232024577592e-05
12,0.7199887386409105,0.884844473858372,1.0738181777759992,0.7295904151574255,0.7141891332067444,1.5875628181243706e-05
13,0.6994316730573608,0.8939705318889547,1.0822045882191278,0.7302869880189468,0.7148665452313339,1.5777260413804854e-05
14,0.6843392517094091,0.9001706781845414,1.0890225235339814,0.7279186402897743,0.7131173727481528,1.5666301292750706e-05
15,0.6546495951098164,0.9163676895746978,1.095688429026477,0.7318194483142937,0.7174906242522384,1.5542945478083762e-05
16,0.6435557156469349,0.9221498484795708,1.1002213174262934,0.7323767066035107,0.7188509449817007,1.5407409377819533e-05
17,0.6322576173960764,0.9261903932564701,1.1041907480860178,0.7325160211758149,0.7193878562502098,1.5259930768333356e-05
18,0.622535293909383,0.9284196593402766,1.1091078042456535,0.7322373920312064,0.7191640163899613,1.5100768377219845e-05
19,0.6161102098983221,0.9330175206381274,1.1108209245500311,0.7341877960434662,0.7217892103600245,1.493020142939675e-05
20,0.6074146718649662,0.9381030338918109,1.1125844400540916,0.7344664251880747,0.7232446572497586,1.4748529157249595e-05
