run,best_acc
1,0.738924491501811
2,0.7417107829478964
3,0.7322373920312064
4,0.7380886040679855
5,0.7353023126219003
6,0.7403176372248538
7,0.7353023126219003
8,0.7421287266648091
9,0.7379492894956813
10,0.7353023126219003
