epoch,train_loss,train_acc,val_loss,val_acc,precision,recall,f1
1,1.8022242066146745,0.299731791424292,1.9055569679101352,0.22764001114516577,0.20980708951097624,0.21667775606418355,0.1899106155521228
2,1.5212196901909314,0.46365251314918665,1.6170689207692437,0.4370298133184731,0.3790830019573456,0.37703793496018406,0.35613246969961176
3,1.3913734996907203,0.5351631892437911,1.3968814157051241,0.5412371134020618,0.49878050604363205,0.4925199874009148,0.47683090371638476
4,1.3197628120970937,0.5700999686509457,1.2559602049174963,0.6103371412649763,0.5590606913430328,0.5804007800089048,0.5567895161218896
5,1.281506162488833,0.5939600822041868,1.174684617438998,0.6526887712454723,0.6073786894227311,0.6414820743483106,0.6139600255252466
6,1.2334610880004637,0.6168797241283221,1.129229144054922,0.674282529952633,0.6297289151114113,0.6658788944789806,0.6403104941703914
7,1.20044056056431,0.6295238426974119,1.1013131238983083,0.687517414321538,0.64773876099479,0.6807867732574872,0.6585285660927793
8,1.162697326327704,0.6504928767982165,1.084401222383388,0.6978266926720536,0.6606769585130021,0.6887859167862381,0.6706313193144643
9,1.1303753047790177,0.6723675502455676,1.0718402059239642,0.7008916132627473,0.6682438107210784,0.6902264104056419,0.6764101920302102
10,1.1136912857627888,0.6792295099097844,1.0638643894463935,0.7064641961549178,0.6782823856062905,0.6966977260670005,0.6850760245157466
11,1.086363973975983,0.6942770559754781,1.0578689562573542,0.7128726664809139,0.69065660015545,0.7039508777826543,0.6955121746681254
12,1.0619173755532476,0.7031941203107039,1.0553922092027737,0.7138478684870437,0.6940747277142149,0.7028655248273553,0.6968346495621983
13,1.0425462768080258,0.7144449475774147,1.0556028315734651,0.71928113680691,0.70389238706684,0.7080902477187051,0.7043128741423972
14,1.0166727197245415,0.7295621582082273,1.0548737938439292,0.7210922262468654,0.704890028414609,0.7072347084701828,0.7045138208200401
15,0.9987172697350217,0.7371555958061932,1.0584776365979531,0.7227640011145166,0.7082430114451126,0.7087551499408159,0.7070185862792053
16,0.9791504598290051,0.7479187711170713,1.061910538395722,0.7247144051267762,0.7114880433531549,0.7120781878167683,0.7103365562584892
17,0.9562334756504227,0.7592044306663416,1.0658953376685254,0.7270827528559487,0.7139937486302239,0.7142799370067712,0.7129565962387385
18,0.9499797455992685,0.7634888014211572,1.07259014962144,0.7300083588743382,0.7209897508584072,0.7156752305504733,0.7169853616657061
19,0.9316308554272953,0.7703507610853739,1.0789944140085372,0.7276400111451657,0.7219872693975954,0.7119092184611746,0.7154750083691148
20,0.9160317400912016,0.7813925946567278,1.0843258091718515,0.7284758985789913,0.7209515619435413,0.712033773105557,0.7151523585391543
21,0.8956960265180269,0.7906579818175485,1.0934806891090858,0.7316801337419894,0.7241975434396876,0.7154283458075895,0.7184474918223545
22,0.9002290259309811,0.7904838204047511,1.097937043977335,0.7333519086096406,0.7270464046650911,0.7167487338126713,0.7206311408482463
23,0.8792816889506531,0.7984952453934306,1.1021853560489943,0.7305656171635553,0.7290340992390053,0.7139841621289137,0.719963422034312
24,0.8684633896328355,0.8043819011459821,1.105920355145265,0.7312621900250766,0.7256643223659881,0.7132624691345484,0.7181726777100554
25,0.85814676617724,0.8076561357065728,1.1092215354942818,0.7341877960434662,0.7289483050551385,0.716698373860894,0.7217196163074133
26,0.8475741402449879,0.8144135985231112,1.1146975975243885,0.7353023126219003,0.7322357513029963,0.7167509863807052,0.7228211218977227
27,0.8422425573217387,0.8149709150440628,1.117605114089443,0.7344664251880747,0.732105918142998,0.7160780814327083,0.7224366355065724
28,0.8294706060460437,0.825002612421192,1.1197982530435768,0.7341877960434662,0.7283247389716238,0.7157634497714487,0.7206931891635966
29,0.8167322800572944,0.82778919502595,1.1238338715122018,0.7329339648927278,0.7294035435946514,0.7144340999886485,0.7205357696494973
30,0.8102497730082722,0.8329443728447525,1.1268074024467623,0.7305656171635553,0.7266887556961565,0.711807580076304,0.7179339542528062
31,0.8044799399096049,0.8353826326239159,1.127580496420532,0.7286152131512956,0.7266924607314779,0.7112019430009443,0.717514208951415
