epoch,train_loss,train_acc,val_loss,val_acc,precision,recall,f1
1,1.8011344193523633,0.3088926817374342,1.9169211625454983,0.21147952075787127,0.216443095856085,0.2116664479602192,0.18552427434846094
2,1.5228525595113716,0.46504580445156574,1.623627097269857,0.45235441627194206,0.39738415073291566,0.39416815555761175,0.37680680110758186
3,1.3991480943380907,0.5289978752307639,1.3943221753737693,0.5594873223739203,0.5108177032744822,0.5132339079332838,0.49612972598132876
4,1.3219190807841474,0.5722247378870737,1.2530567990468053,0.6163276678740597,0.5624425022473281,0.5905417430553184,0.5650557024719622
5,1.2737195101305503,0.5981051238287645,1.1762756228812328,0.6539426023962106,0.6042640557542224,0.6472886637562196,0.6145191512858077
6,1.2416374039934814,0.6126650179386255,1.1301095808538828,0.6720534967957649,0.6263861174066616,0.6645111237909868,0.6371474979809718
7,1.1988291619086349,0.6349925110592497,1.1013339463798872,0.6870994706046253,0.6477894973568242,0.6803705539038606,0.6581496206810692
8,1.1682717812597376,0.6486467658225643,1.082282246305073,0.6985232655335748,0.6643978626939283,0.6904649062892576,0.6729113617303314
9,1.1374206025671272,0.6665853913406946,1.0671119208487339,0.7082752855948732,0.6790126661588418,0.6987673249881338,0.6853330007130681
10,1.1068168666163534,0.6836183775122784,1.0558997835911028,0.7156589579269992,0.6939156271359972,0.7079166580352135,0.6985169189980993
11,1.0915643106438182,0.6917691316311958,1.050257249425201,0.7199777096684313,0.7058560638486207,0.7102519636065148,0.7058971315091639
12,1.074452038651545,0.698874917273329,1.0480138924700466,0.7202563388130399,0.7125691253235317,0.7105273261535118,0.7096296449267772
13,1.041871427812855,0.7166742136612212,1.0477370541386035,0.7223460573976038,0.7147505311283249,0.7131446752063315,0.7122360913114429
14,1.027090706302561,0.7215159009369884,1.0489019475032373,0.7261075508498189,0.7217201293261403,0.7157731450445554,0.7170967149376574
15,1.002322307408319,0.7362499564596467,1.0511064451363268,0.726664809139036,0.7199508999536354,0.7160532958474555,0.7165669621627357
16,0.9969126303503475,0.7394196941725591,1.0522507356381676,0.7309835608804681,0.7254490179962156,0.7196178269212317,0.7212517658467613
17,0.96799661477966,0.7512975025253404,1.0572866984614757,0.7319587628865979,0.7243847279662069,0.7201970914909509,0.7212015534888837
18,0.9480668733791728,0.7639067888118708,1.0643353703527538,0.7307049317358596,0.7268984092292354,0.7191322339192465,0.72201645715777
19,0.9309253495142059,0.7722665366261451,1.0690175337225456,0.7318194483142937,0.7287264042486662,0.7192471468688959,0.722739107344701
20,0.9282670399957392,0.7729283499947751,1.0737612647709989,0.7341877960434662,0.7332060853400199,0.7213790395952834,0.7259339583124823
21,0.9101510250587905,0.7833432024800585,1.0763082650087112,0.7359988854834215,0.7315277645250274,0.721748202000761,0.7255028597041774
22,0.9047403352595849,0.7867915984534467,1.080800989538423,0.7350236834772917,0.7309722815439595,0.7206742473711545,0.7246860317931804
23,0.8930239256424293,0.792225434532725,1.0835128838254005,0.7355809417665088,0.7309996162563156,0.7218698325147915,0.7254722746340933
24,0.8788778604918493,0.7992963878922986,1.0861218379513073,0.7368347729172472,0.7334071427435227,0.7218967560412198,0.7265282150765849
25,0.8608075842023074,0.8078651294019297,1.0895594700228441,0.7359988854834215,0.7334900510930559,0.7206939248860166,0.7259201461102547
26,0.8496594557074022,0.8118360096137099,1.0950476619552256,0.738367233212594,0.7351508624297064,0.7220875534251903,0.7273007048364919
27,0.8503853726143698,0.8127764812428159,1.1000528627034514,0.73627751462803,0.7303534232238629,0.7199348810287425,0.7238930253170212
28,0.8340250340814048,0.8226688494897071,1.104132257404019,0.7355809417665088,0.7321124288807523,0.7197751755101093,0.7245439921656794
29,0.8280169199973738,0.823400327423456,1.1054833560110833,0.7359988854834215,0.7324118573717738,0.7189588147304029,0.7242062962788454
30,0.8229215074023166,0.8276498658957121,1.1086638523164516,0.7361382000557258,0.7338227049949813,0.717592643598982,0.7240552582080836
31,0.8147176928233526,0.8318645720854088,1.1108421321764201,0.7366954583449429,0.7357830263282098,0.7181135000081899,0.7251455072848619
32,0.8098611426812703,0.8326657145842767,1.113367754458451,0.7373920312064642,0.7344845030166974,0.7195763795829961,0.7257152943731888
33,0.796142759500923,0.8399108293566477,1.1145066774532502,0.7372527166341599,0.7343672178727917,0.7185593120797659,0.7249572476338011
