epoch,train_loss,train_acc,val_loss,val_acc,precision,recall,f1
1,1.0576507563837485,0.6014141906719147,0.8867695578030139,0.6691278907773753,0.6439689167864536,0.6132147434593982,0.6234719555335569
2,0.7680261239573983,0.715559580619318,0.8770546723654358,0.6830593480078017,0.6567063710357199,0.6442353121456825,0.6443931075318892
3,0.5754377946048418,0.7899265038837995,0.8767394953142404,0.6955976595151853,0.6845173040861166,0.6704852697600252,0.6745344025842156
4,0.38674660764014096,0.8623776516075098,1.025078052060622,0.6879353580384509,0.6846933471535032,0.6704345026152625,0.6749171336621715
5,0.2353066068629643,0.9180396391375527,1.1383609608808045,0.6958762886597938,0.6860582425193777,0.6837130137684003,0.6809097563990477
6,0.1500442337622741,0.9500156745271517,1.3001115802612169,0.7045137921426581,0.7077425349806354,0.6891236494217242,0.6960665528978474
7,0.0961921872353308,0.9688947716743879,1.4272733998808498,0.6996377821120089,0.6869800489840797,0.6986626807069537,0.6914052140244624
8,0.07325077486054195,0.9765578738374726,1.4936174746342241,0.6919754806352745,0.6897215196088117,0.6790633733611225,0.6810489083835681
9,0.07513004523957302,0.9755825699258073,1.6281814439180438,0.6946224575090555,0.6793157429452956,0.678265728869821,0.6728762043481938
10,0.06705385195968222,0.9778815005747327,1.6458212659531033,0.6978266926720536,0.714658023912573,0.6744754938827047,0.6895010181317378
11,0.06687838484243214,0.977254519488662,1.7505415914682467,0.6865422123154082,0.6871631745743929,0.6684416600607301,0.6747471400636865
12,0.05371371601689775,0.9826535232853809,1.7137808695946208,0.703956533853441,0.7111944312605524,0.6757291024029791,0.6886627119069022
13,0.04922777892800267,0.9845344665435926,1.6312869515017767,0.6996377821120089,0.6931272084431607,0.6869201426333961,0.6878152324320757
14,0.05143002480262769,0.9831411752412136,1.7716804869051563,0.6944831429367512,0.6854435989356465,0.6831871987877361,0.6795406450196788
15,0.04995054822457805,0.9821658713295482,1.8190400810540137,0.6968514906659237,0.6915969128091757,0.6854507487222113,0.6869560172827585
16,0.05191021395664304,0.9821658713295482,1.7894774331756904,0.7008916132627473,0.7162466324213718,0.6748084451721247,0.6898261225490913
17,0.05064882624921241,0.9826535232853809,1.7675450100485879,0.700752298690443,0.7084341734742479,0.6805790774243189,0.6902325604101257
18,0.03483357603959419,0.987704204256505,1.8727476179151357,0.7024240735580942,0.7040962541330077,0.6758659198235895,0.6873196144174653
19,0.03841909351066631,0.9874952105611481,1.9123782735431085,0.6967121760936194,0.6977494254265377,0.6777524330709891,0.6841888949995563
20,0.04519992936978695,0.9841861437179978,1.8750775992438533,0.7035385901365283,0.6978051304039978,0.6831120386249104,0.6866434124174762
21,0.036293141619985876,0.9873907137134696,1.9309847327693985,0.7022847589857899,0.6955330517936228,0.6868481496973431,0.6902598794201109
22,0.03385349730336391,0.987564875126267,1.8813107867991694,0.6979660072443578,0.6904233150883314,0.6735637858698398,0.6773285840240094
23,0.04355042875380133,0.985440105890139,1.870146733251679,0.7003343549735302,0.7094470462762333,0.6728751041235598,0.6856982747138725
24,0.03917348370684102,0.9871468877355533,1.9744823704403351,0.694343828364447,0.6920963451482212,0.6804188912888557,0.6808260266614604
25,0.029698177804889682,0.9896548120798356,2.0178432536343753,0.7029813318473113,0.6934452496252624,0.6965123519681978,0.6894115459325664
26,0.03458236787802847,0.9872862168657912,1.987880550642537,0.6851490665923655,0.6669830255690777,0.6818660918143168,0.6699501113238459
27,0.03670265857013375,0.9865547389320423,1.9918949349564607,0.7022847589857899,0.6982556159200727,0.6840145114186941,0.6887217673275645
28,0.03282048260508866,0.9881570239297781,1.8637311906452863,0.7025633881303984,0.6927037291795771,0.6880005523864916,0.6900031561485659
29,0.025678965571936864,0.9909436065345362,2.02000654087534,0.7040958484257454,0.6935118973615942,0.6843254390523252,0.6879446371804888
30,0.030498170566980714,0.989689644362395,2.1021380313062252,0.7088325438840902,0.7034946135670584,0.69714745596563,0.6989359198732528
31,0.03603595579740168,0.9869727263227559,2.0536623841608175,0.7020061298411814,0.6965486767463291,0.6913949168348219,0.6914309220300813
32,0.027662056637438044,0.9901772963182277,2.0088152267800696,0.6979660072443578,0.6861030205048433,0.6925138334763955,0.6879006643343216
33,0.03368884089385483,0.9885401790379323,2.003567613991365,0.7017275006965729,0.7024500395289753,0.6830987781119747,0.6908147340261898
34,0.02804443103662268,0.990630115991501,1.972276799955813,0.7032599609919198,0.6884791033143921,0.6833072793881729,0.6824559906447458
35,0.020446339812352405,0.9929987112055453,1.9267497119979213,0.7084146001671775,0.7061108335969991,0.6906490524894355,0.6962353705378816
