epoch,train_acc,val_acc,f1
1,0.1668814657424501,0.14265812203956535,0.035670742327655276
2,0.18530774321641297,0.14265812203956535,0.035688146934792456
3,0.20446549862412483,0.14934522151016996,0.05559067673315626
4,0.23132118847748093,0.1861242685984954,0.09824203982849475
5,0.2585948657215507,0.19615491780440233,0.10574151448499748
6,0.28015604862586646,0.23488436890498746,0.15706047557262082
7,0.3135253753178446,0.34424630816383395,0.27196533094612574
8,0.33707199832805046,0.4159933129005294,0.33196661183920834
9,0.36364902992093073,0.4573697408748955,0.37385085972197996
10,0.3785572468563865,0.4866258010587908,0.41164946934182106
11,0.4093141523564039,0.5037614934522151,0.4334100275334377
12,0.42338639451043225,0.5224296461409863,0.45851972278216835
13,0.4379462886202933,0.5398439676790192,0.48083223029153793
14,0.44759483088926816,0.551407077180273,0.49675868974960424
15,0.46344351945382983,0.5626915575369184,0.5134440204939468
16,0.47723710334738234,0.5728615213151296,0.5264266293687196
17,0.48758229126754676,0.5865143494009474,0.5453402316001974
18,0.4937127729980146,0.599052660908331,0.5609590280541196
19,0.5062175624368664,0.6089439955419337,0.5731445936647883
20,0.5183043644850047,0.6147952075787128,0.5835245942147577
21,0.5146818070988192,0.618138757314015,0.588923541352047
22,0.5274304225155875,0.6242685984954026,0.6002681571632991
23,0.5376014490229545,0.6284480356645306,0.6084160786928445
24,0.5469365007488941,0.6337419894120925,0.6146304260182589
25,0.5499669093315684,0.6390359431596545,0.6212777949620758
26,0.5576996760597722,0.6451657843410421,0.628459189208086
27,0.5655369396356543,0.6465589300640847,0.6299157311257585
28,0.5672088891985092,0.6512956255224297,0.6382547743140617
29,0.576195618098854,0.6547784898300362,0.6419228896570243
30,0.5739663520150475,0.6625801058790749,0.6513560417430161
31,0.5821519384165245,0.6653663973251602,0.6549216735389637
32,0.5938207530739489,0.671078294789635,0.6601160521830207
33,0.5933679334006757,0.6698244636388966,0.6579324686743268
34,0.6011355324114389,0.6756756756756757,0.6647672594036956
35,0.6077188338151799,0.6776260796879353,0.6669111177141921
36,0.6145807934793968,0.6773474505433268,0.6657782511464896
37,0.6194573130377233,0.6780440234048482,0.6648581284901408
38,0.6184123445609391,0.6772081359710226,0.6667873834866141
39,0.6304643143265178,0.678461967121761,0.6700126857156226
40,0.6315441150858616,0.6791585399832822,0.6720819974500257
41,0.6328329095405621,0.6795764837001951,0.6734865827535241
42,0.6447455501759031,0.6819448314293675,0.6753150858419271
43,0.6519906649482741,0.6837559208693229,0.6762538644100137
44,0.6529659688599394,0.6841738645862357,0.6768303583880136
45,0.6555783900519001,0.6836166062970187,0.6769288465288126
46,0.6625796788463548,0.6851490665923655,0.6782192637970976
47,0.6655404228639102,0.6841738645862357,0.6779783294516734
48,0.6687101605768226,0.6840345500139314,0.6779090134904749
49,0.6708697620955101,0.68431317915854,0.6773654977061058
50,0.6785676965411543,0.68431317915854,0.6755226697089984
51,0.6840015326204326,0.6830593480078017,0.6767052988837997
52,0.6895746978299488,0.6826414042908888,0.6756934380431214
53,0.6927792678254207,0.6864028977431039,0.6793607126503444
54,0.6918387961963147,0.6838952354416272,0.6780094342493178
55,0.6999198857501132,0.6852883811646698,0.6791947668461212
56,0.7058065415026646,0.6855670103092784,0.6794752436592338
57,0.7042390887874882,0.6887712454722764,0.6837447093322374
58,0.7086627886725417,0.6897464474784062,0.6851238504013205
59,0.7112055452993835,0.6872387851769295,0.6814926247033355
60,0.7131909854052736,0.6879353580384509,0.6832719367107296
61,0.7159079034449127,0.684870437447757,0.6806880619247181
62,0.7145842767076527,0.6845918083031485,0.6803663241819952
63,0.7191124734403845,0.6868208414600168,0.6815799710300725
64,0.7202967710474067,0.6836166062970187,0.679468331608101
65,0.7211327458288341,0.6818055168570633,0.67833484652997
66,0.7286913511442404,0.68431317915854,0.6799578289394395
67,0.7251732906057334,0.6864028977431039,0.6821795173088585
68,0.7263227559301961,0.6883533017553636,0.6839800600319618
69,0.7277508795151346,0.6865422123154082,0.682339051673131
70,0.7342296840711972,0.6866815268877124,0.6824690236449596
71,0.7314082691838796,0.6880746726107551,0.685025630376183
72,0.7284126928837646,0.687517414321538,0.6845412060131381
73,0.7284475251663242,0.6884926163276679,0.6854439566539128
74,0.7333588770072103,0.6873780997492338,0.6849616895892833
75,0.733115051029294,0.6877960434661465,0.6856493883192272
76,0.7316172628792365,0.6880746726107551,0.6860138293283299
77,0.7319307534222718,0.6877960434661465,0.6857113341542546
78,0.7332892124420913,0.6886319308999721,0.6864175483908898
79,0.7335678707025671,0.6890498746168849,0.6868724093714277
80,0.7367376084154794,0.6890498746168849,0.6867636737343474
